OHS-OR_CA1,OHS-XOR_CA1,OHS-PossOR_CA1,OHS-PossXOR_CA1
0.8044546289000001,0.8044546289000001,0.8906758405,0.8908569063
0.8032328501,0.8032328501,0.9065023399000001,0.9065328529000001
0.7790095316000001,0.7790956675,0.9276041158,0.9276041158
0.7904326327000001,0.7904326327000001,0.8999417952000001,0.8999417952000001
0.8065105947000001,0.8065105947000001,0.8740507157,0.8740507157
0.7769753966,0.7769753966,0.9114421543000001,0.9115419725
0.8254870278,0.8255637298,0.8902034681000001,0.8902034681000001
0.8245004577,0.8246949339,0.8895573483,0.8896633261
0.7998505267,0.7998505267,0.886576443,0.886576443
0.7691428159,0.7691428159,0.903674803,0.903674803
0.8941175587,0.8941982861000001,0.9289818146000001,0.9290168264
0.8634113510000001,0.8634489552,0.9075018354000001,0.9074906912
0.9057209302,0.9058060458,0.9226508034,0.9227290629
0.90402419645,0.90402419645,0.92288467755,0.92288706665
0.7613588332000001,0.76136825405,0.91353253615,0.9135585502000001
0.8072028209000001,0.8072028209000001,0.9042903517,0.9043573137
0.8069281428,0.8069281428,0.9168095928000001,0.9168543621
0.7683663425,0.8046854194,0.9122568836,0.9123776483
0.8056268393,0.8057512438000001,0.8859716991000001,0.8859716991000001
0.7855897106,0.7855897106,0.9074544855000001,0.9075838150000001
0.7645769894000001,0.7645769894000001,0.8838275926,0.8838275926
0.7528650558000001,0.7528650558000001,0.9158612544,0.9158612544
0.8508818618,0.8508818618,0.9045631043000001,0.9046061927
0.8213838071,0.8235149970000001,0.9357715277,0.9311717983000001
0.9016537239,0.9016824456,0.9266871695000001,0.9267107058
0.8845381554,0.8846301727,0.8959590496000001,0.8959674123
0.8526425729,0.7930561761,0.8938073281000001,0.8938073281000001
0.89079404635,0.89079404635,0.9266063139,0.9266431473000001
0.9011383078,0.9011383078,0.9129312580000001,0.9129245779
0.8987589415,0.8987589415,0.9184534184,0.9155399835
0.8966294490000001,0.8967839853,0.916146079,0.9161659684000001
0.8886020397000001,0.888779937,0.9203885328,0.9203839021
0.8856286576,0.8856819794,0.9082730444,0.9082733518
0.8928071959,0.8928906132000001,0.9158487246,0.9158487246
0.8889032173,0.8889877999,0.8955477037,0.8955819516
0.8879276061,0.8880204581000001,0.9017885011000001,0.9018104342000001
0.8999436056000001,0.9000152875,0.9173653796000001,0.9174261264
0.9177172062000001,0.9177230587,0.9155816647,0.9300821180000001
0.9133705895,0.9135760349000001,0.9220634855000001,0.9221668002000001
0.8844470879,0.8844666975000001,0.9125738033,0.912615389
0.8144617133000001,0.8144617133000001,0.8990704057000001,0.8990840587000001
0.7489172659000001,0.7489172659000001,0.8926022939,0.8926504609
0.8388892839000001,0.8388892839000001,0.8999778753000001,0.9000257832
